,player_name_x,PA,HR,R,RBI,SB,BB_percentage,K_percentage,OBP,wRC+,BsR,WAR,pitches,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,whiffs,swings,takes
284,Lane Adams,122,5,19,20,10,0.08199999999999999,0.303,0.33899999999999997,110,2.5,0.7,475,0.275,0.193,0.368,0.46799999999999997,0.34700000000000003,0.321,0.237,30,109,80.1,13.0,90,231,241
285,Leonys Martin,138,3,14,9,7,0.057999999999999996,0.239,0.23199999999999998,35,0.2,-0.4,525,0.172,0.109,0.207,0.281,0.231,0.258,0.2,22,128,78.3,14.1,71,262,252
286,Leury Garcia,326,9,41,33,8,0.04,0.212,0.316,97,-0.6,1.1,1111,0.27,0.153,0.321,0.423,0.319,0.287,0.24100000000000002,81,300,79.6,10.7,140,604,484
287,Logan Forsythe,439,6,56,36,3,0.157,0.248,0.35100000000000003,90,0.8,1.7,1925,0.22399999999999998,0.102,0.299,0.327,0.313,0.32899999999999996,0.228,81,361,84.0,15.9,144,623,1294
288,Logan Morrison,601,38,75,85,2,0.135,0.248,0.353,130,0.0,3.3,2385,0.24600000000000002,0.27,0.268,0.516,0.37200000000000005,0.36700000000000005,0.248,126,512,81.6,18.7,312,1084,1267
289,Lonnie Chisenhall,270,12,34,53,2,0.09300000000000001,0.204,0.36,129,0.0,1.4,1079,0.28800000000000003,0.233,0.326,0.521,0.373,0.33,0.242,68,236,80.9,20.4,125,539,524
290,Lorenzo Cain,645,15,86,49,26,0.084,0.155,0.363,115,3.5,4.1,2519,0.3,0.14,0.34,0.44,0.354,0.33299999999999996,0.27899999999999997,175,584,81.6,13.3,245,1240,1268
291,Lucas Duda,491,30,50,64,0,0.122,0.275,0.322,113,-3.9,1.1,2041,0.217,0.27899999999999997,0.23800000000000002,0.496,0.35,0.353,0.23800000000000002,92,423,84.0,21.7,217,813,1204
292,Luis Torrens,139,0,7,7,0,0.086,0.21600000000000003,0.243,18,0.1,-0.8,547,0.163,0.040999999999999995,0.215,0.203,0.20800000000000002,0.267,0.217,20,123,79.5,9.5,68,261,271
293,Luis Valbuena,401,22,42,65,0,0.12,0.264,0.294,94,-2.4,0.8,1706,0.19899999999999998,0.233,0.21,0.43200000000000005,0.314,0.312,0.203,69,347,82.6,22.5,215,750,948
294,Luke Maile,136,2,10,7,1,0.022000000000000002,0.257,0.17600000000000002,0,0.8,-0.6,506,0.146,0.085,0.18100000000000002,0.231,0.18100000000000002,0.20199999999999999,0.165,19,130,77.5,14.7,55,243,260
295,Luke Voit,124,4,18,18,0,0.055999999999999994,0.25,0.306,94,0.6,0.3,466,0.24600000000000002,0.184,0.304,0.43,0.321,0.33399999999999996,0.25,28,114,82.9,17.0,69,242,221
296,Maikel Franco,623,24,66,76,0,0.066,0.152,0.281,76,-3.2,-0.5,2343,0.23,0.179,0.23399999999999999,0.409,0.299,0.302,0.243,132,575,83.5,14.8,262,1174,1157
297,Mallex Smith,282,2,33,12,16,0.08199999999999999,0.22,0.32899999999999996,88,3.1,0.8,1080,0.27,0.086,0.34700000000000003,0.355,0.305,0.239,0.19899999999999998,69,256,74.0,9.3,152,501,543
298,Manny Machado,690,33,81,95,9,0.07200000000000001,0.16699999999999998,0.31,102,-5.0,2.8,2560,0.259,0.213,0.265,0.47100000000000003,0.335,0.35700000000000004,0.27399999999999997,163,630,84.9,18.4,273,1245,1298
299,Manny Pina,359,9,45,43,2,0.055999999999999994,0.22,0.327,94,-1.4,2.0,1425,0.27899999999999997,0.145,0.33899999999999997,0.424,0.327,0.299,0.24600000000000002,92,330,82.2,21.1,169,719,701
300,Manuel Margot,529,13,53,39,17,0.066,0.2,0.313,92,1.0,1.9,2026,0.263,0.146,0.309,0.409,0.315,0.287,0.24100000000000002,128,487,79.5,15.7,198,923,1097
301,Marcell Ozuna,679,37,93,124,1,0.094,0.212,0.376,142,-5.3,4.8,2576,0.312,0.237,0.355,0.5479999999999999,0.397,0.36,0.273,191,613,82.9,13.1,341,1269,1290
302,Marcus Semien,386,10,53,40,12,0.098,0.22,0.325,96,4.6,1.7,1592,0.249,0.149,0.3,0.39799999999999996,0.318,0.305,0.23,85,342,81.4,20.5,181,712,875
303,Mark Canha,187,5,16,14,2,0.037000000000000005,0.299,0.262,70,-0.4,-0.7,822,0.20800000000000002,0.17300000000000001,0.27399999999999997,0.382,0.27899999999999997,0.272,0.20800000000000002,36,173,81.5,21.3,106,410,405
304,Mark Reynolds,593,30,82,97,2,0.11599999999999999,0.295,0.35200000000000004,104,-2.7,0.8,2470,0.267,0.21899999999999997,0.34299999999999997,0.48700000000000004,0.363,0.321,0.226,139,520,81.1,18.1,377,1100,1368
305,Mark Trumbo,603,23,79,65,1,0.07,0.247,0.289,80,-0.9,-1.2,2309,0.23399999999999999,0.163,0.278,0.397,0.3,0.29100000000000004,0.22699999999999998,131,559,83.5,18.3,342,1145,1163
306,Martin Maldonado,471,14,43,38,0,0.032,0.253,0.276,73,-2.7,1.1,1781,0.221,0.147,0.273,0.368,0.27899999999999997,0.275,0.215,95,429,78.9,15.5,235,871,878
307,Martin Prado,147,2,13,12,0,0.040999999999999995,0.15,0.27899999999999997,67,-1.3,-0.1,625,0.25,0.107,0.282,0.35700000000000004,0.27899999999999997,0.273,0.245,35,140,82.1,12.3,33,233,391
308,Marwin Gonzalez,515,23,67,90,8,0.095,0.192,0.377,144,0.7,4.1,2128,0.303,0.226,0.34299999999999997,0.529,0.387,0.32,0.244,138,456,82.6,13.2,182,891,1211
309,Matt Adams,367,20,46,65,0,0.063,0.24,0.319,112,0.7,1.6,1451,0.27399999999999997,0.248,0.311,0.522,0.35700000000000004,0.34,0.265,93,339,83.2,21.5,224,774,660
310,Matt Carpenter,622,23,91,69,2,0.175,0.201,0.384,123,0.4,2.9,2772,0.24100000000000002,0.209,0.27399999999999997,0.451,0.36700000000000005,0.376,0.249,120,497,83.5,24.1,186,943,1800
311,Matt Chapman,326,14,39,40,0,0.098,0.282,0.313,108,2.0,2.7,1344,0.23399999999999999,0.23800000000000002,0.29,0.47200000000000003,0.337,0.314,0.21600000000000003,68,290,83.5,25.0,174,574,766
312,Matt Davidson,443,26,43,68,0,0.043,0.37200000000000005,0.26,83,-4.1,-0.9,1855,0.22,0.23199999999999998,0.285,0.452,0.302,0.298,0.212,91,414,82.7,22.6,326,898,952
313,Matt Holliday,427,19,50,64,1,0.10800000000000001,0.267,0.316,98,-3.2,-0.1,1733,0.231,0.201,0.273,0.43200000000000005,0.325,0.33299999999999996,0.233,86,373,82.5,16.3,222,769,961
314,Matt Joyce,544,25,78,68,4,0.121,0.20800000000000002,0.335,116,1.7,2.4,2266,0.243,0.23,0.263,0.473,0.348,0.35,0.247,114,469,82.7,17.6,239,957,1302
315,Matt Kemp,467,19,47,64,0,0.057999999999999996,0.212,0.318,100,-6.5,-0.5,1695,0.276,0.187,0.318,0.46299999999999997,0.337,0.35,0.285,121,438,83.1,12.3,274,919,757
316,Matt Olson,216,24,33,45,0,0.102,0.278,0.35200000000000004,162,-1.8,2.0,918,0.259,0.392,0.23800000000000002,0.6509999999999999,0.41700000000000004,0.38,0.251,49,189,85.4,21.5,131,410,498
317,Matt Reynolds,130,1,12,5,0,0.10800000000000001,0.285,0.326,74,-1.2,-0.2,539,0.23,0.071,0.33299999999999996,0.301,0.28800000000000003,0.255,0.18600000000000003,26,113,81.7,13.9,61,215,318
318,Matt Szczur,237,3,28,18,0,0.14300000000000002,0.18600000000000003,0.35,96,0.5,0.4,933,0.226,0.128,0.275,0.354,0.317,0.284,0.18899999999999997,44,195,77.7,21.8,84,404,517
319,Matt Wieters,465,10,43,52,1,0.08199999999999999,0.20199999999999999,0.28800000000000003,62,-3.5,-0.2,1790,0.225,0.11800000000000001,0.264,0.344,0.281,0.293,0.233,95,422,80.0,17.2,181,870,901
320,Max Kepler,568,19,67,69,6,0.083,0.201,0.312,92,3.1,1.2,2132,0.243,0.182,0.276,0.425,0.321,0.298,0.23600000000000002,124,511,82.2,16.1,205,915,1200
321,Max Moroff,140,3,19,21,0,0.114,0.307,0.302,70,0.3,0.5,612,0.2,0.125,0.28,0.325,0.28300000000000003,0.282,0.198,24,120,79.8,20.1,85,261,349
322,Melky Cabrera,666,17,78,85,1,0.054000000000000006,0.111,0.324,98,-3.8,0.0,2425,0.285,0.13699999999999998,0.299,0.423,0.325,0.336,0.298,177,620,83.4,14.8,150,1116,1300
323,Michael Brantley,375,9,47,52,11,0.083,0.133,0.35700000000000004,111,4.1,1.6,1403,0.299,0.145,0.325,0.444,0.35100000000000003,0.344,0.28800000000000003,101,338,83.8,13.4,79,613,775
324,Michael Conforto,440,27,72,68,2,0.13,0.257,0.384,146,2.9,4.4,1846,0.27899999999999997,0.276,0.32799999999999996,0.555,0.401,0.376,0.254,104,373,83.8,17.5,228,783,1037
325,Michael Saunders,234,6,26,21,0,0.064,0.235,0.256,53,2.2,-0.7,991,0.20199999999999999,0.142,0.242,0.344,0.265,0.27399999999999997,0.218,44,218,80.4,16.9,112,470,512
326,Michael Taylor,432,19,55,53,17,0.067,0.317,0.32,105,3.0,3.1,1642,0.271,0.21600000000000003,0.363,0.486,0.345,0.294,0.222,108,399,81.4,15.7,268,801,821
327,Miguel Cabrera,529,16,50,60,0,0.102,0.20800000000000002,0.32899999999999996,91,-8.1,-0.2,2067,0.249,0.149,0.292,0.39899999999999997,0.322,0.382,0.29,117,469,84.5,17.5,237,1028,1014
328,Miguel Montero,213,6,24,16,1,0.10800000000000001,0.221,0.31,74,-1.2,-0.4,862,0.21600000000000003,0.13,0.254,0.34600000000000003,0.295,0.28,0.187,40,185,81.7,22.0,90,401,454
329,Miguel Rojas,306,1,37,26,2,0.08800000000000001,0.105,0.361,96,-0.1,1.4,1141,0.29,0.085,0.324,0.375,0.33,0.313,0.27399999999999997,79,272,77.6,12.6,74,543,567
330,Miguel Sano,483,28,75,77,0,0.11199999999999999,0.358,0.35200000000000004,124,-4.2,2.3,1993,0.264,0.243,0.375,0.507,0.37,0.348,0.235,112,424,85.4,17.4,379,959,1011
331,Mike Aviles,97,1,5,8,0,0.062,0.155,0.298,55,-1.8,-0.3,360,0.233,0.057999999999999996,0.271,0.29100000000000004,0.262,0.251,0.22,20,86,76.2,18.5,23,164,183
332,Mike Moustakas,598,38,75,85,0,0.057,0.157,0.314,114,-5.4,2.2,2266,0.272,0.249,0.263,0.521,0.355,0.33899999999999997,0.266,151,555,81.8,24.0,261,1246,988
333,Mike Napoli,485,29,60,66,1,0.10099999999999999,0.336,0.285,81,-2.1,-0.5,2144,0.193,0.235,0.225,0.428,0.308,0.311,0.19899999999999998,82,425,83.3,26.4,318,921,1204
334,Mike Trout,507,33,92,72,22,0.185,0.17800000000000002,0.442,181,4.0,6.9,2171,0.306,0.32299999999999995,0.318,0.629,0.451,0.423,0.28,123,402,82.2,20.8,146,801,1319
335,Mike Zunino,435,25,52,64,1,0.09,0.368,0.331,126,-1.7,3.6,1800,0.251,0.258,0.355,0.509,0.36,0.32299999999999995,0.21600000000000003,97,387,82.5,23.0,341,891,901
336,Mikie Mahtook,379,12,50,38,6,0.061,0.20800000000000002,0.33,107,3.2,1.6,1561,0.276,0.18100000000000002,0.324,0.457,0.341,0.316,0.252,96,348,82.3,15.5,140,674,881
