"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"447",425772,"Jeff Mathis","447","100.00","0.238","0.095","0.318","0.333","0.264","0.237","0.214","30","126","81.4","19.4","2234","88.5","88.07","72","231","211","-0.4","6.08","107","150","110","146","297","311","285"
"438",493329,"Yuli Gurriel","438","100.00","0.262","0.123","0.267","0.385","0.296","0.293","0.259","34","130","84.1","15.4","2239","88.5","87.91","45","242","193","-0.6","6.03","106","150","111","145","293","321","288"
"435",518653,"Jake Elmore","435","100.00","0.218","0.026","0.279","0.244","0.296","0.300","0.214","17","78","77.5","10.2","2183","90.7","90.62","22","151","273","-0.1","6.15","108","150","105","147","297","309","284"
"432",628338,"Guillermo Heredia","432","100.00","0.250","0.065","0.289","0.315","0.305","0.296","0.236","23","92","78.3","12.6","2153","88.4","87.15","26","170","258","-1.3","5.96","103","146","100","143","292","312","281"
"430",543238,"Anthony Gose","430","100.00","0.209","0.132","0.333","0.341","0.281","0.247","0.181","19","91","83.1","14.4","2180","87.9","87.32","61","177","247","-0.6","6.03","106","144","96","145","281","308","294"
"429",570615,"Steven Moya","429","100.00","0.255","0.245","0.365","0.500","0.334","0.288","0.230","24","94","83.0","20.3","2234","89.4","89.12","82","249","180","-0.3","6.05","115","148","122","150","296","321","302"
"426",446653,"Jose Lobaton","426","100.00","0.232","0.141","0.253","0.374","0.306","0.351","0.271","23","99","85.4","13.8","2195","89.2","88.61","52","225","195","-0.6","6.02","112","148","112","147","286","311","299"
"422",622194,"Bruce Maxwell","422","100.00","0.283","0.120","0.368","0.402","0.326","0.342","0.287","26","92","83.6","14.7","2244","88.2","87.59","47","196","224","-0.6","6.12","116","155","114","150","288","317","299"
"420",605509,"Kelby Tomlinson","420","100.00","0.292","0.038","0.352","0.330","0.320","0.308","0.268","31","106","79.7","12.7","2220","88.9","88.40","40","199","208","-0.5","5.97","104","146","100","144","292","309","279"
"412",453211,"Drew Stubbs","412","100.00","0.225","0.113","0.375","0.338","0.304","0.262","0.181","18","80","82.1","21.4","2209","88.4","87.90","51","149","259","-0.5","5.98","105","148","106","145","298","316","286"
"408",592450,"Aaron Judge","408","100.00","0.179","0.167","0.282","0.345","0.269","0.284","0.184","15","84","85.5","20.4","2172","87.9","87.04","79","186","221","-0.9","5.85","105","152","117","144","304","321","293"
"406",518516,"Madison Bumgarner","406","100.00","0.186","0.174","0.317","0.360","0.276","0.238","0.157","16","86","84.3","17.9","2190","88.8","88.50","74","180","222","-0.3","6.10","106","146","111","142","296","315","291"
