pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1683,593528,Jorge Bonifacio,1683,100,0.255,0.177,0.324,0.432,0.329,0.324,0.246,98,384,81,19.6,2225,88.7,88.43,273,886,794,-0.3,6.06,108,150,114,146,301,321,291
1595,460576,Carlos Gomez,1595,100,0.255,0.207,0.336,0.462,0.345,0.324,0.237,94,368,80.9,19.6,2248,88.4,87.96,268,888,679,-0.4,6.03,106,150,108,146,302,322,294
1714,445055,Jon Jay,1714,100,0.296,0.079,0.368,0.375,0.336,0.324,0.276,112,379,79.2,12.6,2186,88.8,88.43,181,878,809,-0.4,6.06,116,148,103,149,282,308,296
1800,572287,Mike Zunino,1800,100,0.251,0.258,0.355,0.509,0.36,0.323,0.216,97,387,82.5,23,2256,89.2,88.73,341,891,901,-0.5,6.05,105,150,116,145,297,319,293
1908,576397,Jedd Gyorko,1908,100,0.272,0.2,0.312,0.472,0.351,0.323,0.237,116,426,82.1,19,2232,88.3,87.81,234,916,989,-0.5,5.99,109,151,115,147,303,318,294
1892,518960,Jonathan Lucroy,1892,100,0.265,0.106,0.286,0.371,0.322,0.323,0.265,112,423,81.4,15.1,2252,89.7,89.4,83,778,1080,-0.3,6.06,107,150,113,147,303,320,289
1854,518618,Derek Dietrich,1854,100,0.249,0.175,0.295,0.425,0.332,0.323,0.247,101,405,80.8,19.9,2180,89.3,88.76,169,851,964,-0.5,6.07,115,148,110,150,290,315,298
887,425784,Rene Rivera,887,100,0.252,0.179,0.324,0.431,0.319,0.323,0.25,55,218,80.7,17.7,2223,88.6,88.15,162,483,388,-0.4,6.04,108,152,115,147,295,314,289
1761,657557,Paul DeJong,1761,100,0.285,0.247,0.349,0.532,0.365,0.323,0.254,119,417,80.4,21.7,2235,88.5,88.16,253,906,847,-0.3,6.04,108,150,112,146,302,317,294
1947,450314,Ben Zobrist,1947,100,0.232,0.143,0.251,0.375,0.307,0.322,0.253,101,435,82.2,12.3,2154,89.3,88.89,105,761,1167,-0.4,6.04,114,148,108,149,291,314,295
395,595751,Jorge Alfaro,395,100,0.318,0.196,0.42,0.514,0.378,0.322,0.249,34,107,82.2,12.5,2257,88.2,87.82,90,242,145,-0.4,6.12,109,151,114,148,296,316,289
2898,458731,Brett Gardner,2898,100,0.264,0.163,0.3,0.428,0.341,0.322,0.253,157,594,81.6,14.7,2220,89,88.41,162,1038,1832,-0.6,6.01,110,148,99,148,282,316,294
1649,488771,Jason Castro,1649,100,0.242,0.146,0.318,0.388,0.32,0.322,0.238,86,356,81.1,16.3,2241,88.6,88.03,225,733,905,-0.6,6.04,114,151,115,148,286,316,298
662,630111,Yasmany Tomas,662,100,0.241,0.223,0.294,0.464,0.325,0.321,0.23,40,166,84.8,13.7,2250,88.4,87.71,110,348,314,-0.7,5.87,107,150,115,147,307,323,300
1704,545341,Randal Grichuk,1704,100,0.238,0.235,0.293,0.473,0.323,0.321,0.233,98,412,83.6,21,2231,88.7,88.16,257,867,823,-0.5,5.98,108,151,113,146,303,319,295
2678,571976,Wil Myers,2678,100,0.243,0.22,0.297,0.464,0.342,0.321,0.223,138,567,83.1,19.3,2266,88.5,87.72,305,1177,1484,-0.8,5.91,108,151,115,145,303,323,300
987,547957,Hyun Soo Kim,987,100,0.231,0.061,0.287,0.292,0.274,0.321,0.262,49,212,82,14.4,2228,89.2,88.68,77,414,567,-0.5,6.04,114,149,111,150,284,315,298
2470,448602,Mark Reynolds,2470,100,0.267,0.219,0.343,0.487,0.363,0.321,0.226,139,520,81.1,18.1,2250,88.2,87.9,377,1100,1368,-0.3,5.96,107,152,115,146,309,328,303
475,572669,Lane Adams,475,100,0.275,0.193,0.368,0.468,0.347,0.321,0.237,30,109,80.1,13,2243,88.4,88,90,231,241,-0.4,6.02,107,151,111,146,303,318,292
1537,543939,Kolten Wong,1537,100,0.285,0.127,0.331,0.412,0.35,0.321,0.254,101,354,79.5,12.4,2224,88.7,88.12,132,687,795,-0.6,5.96,112,148,102,150,290,313,295
2128,503556,Marwin Gonzalez,2128,100,0.303,0.226,0.343,0.529,0.387,0.32,0.244,138,456,82.6,13.2,2184,87.3,86.79,182,891,1211,-0.5,5.99,111,148,108,149,291,322,293
2337,452104,Chase Headley,2337,100,0.273,0.133,0.341,0.406,0.335,0.32,0.25,140,512,80.8,13.9,2185,88.4,87.88,269,1032,1289,-0.5,6.02,113,155,114,149,291,319,293
1353,400284,Chase Utley,1353,100,0.236,0.168,0.264,0.405,0.32,0.319,0.236,73,309,83.3,14.8,2197,89.4,88.93,73,516,825,-0.5,6.01,117,150,109,150,292,315,300
443,594809,Adam Eaton,443,100,0.297,0.165,0.347,0.462,0.375,0.319,0.228,27,91,81.9,14.3,2186,89.2,88.79,39,188,252,-0.4,6.13,109,147,96,145,282,309,297
629,434563,Carlos Ruiz,629,100,0.216,0.136,0.282,0.352,0.297,0.318,0.238,27,125,82.8,17.1,2243,88.6,88.23,47,230,394,-0.4,6.08,107,149,113,146,294,312,280
