Player_Name,Sprint_Speed
 Wilmer Flores,25.7
 Chris Coghlan,25.7
 Anthony Rizzo,25.7
 Tommy Joseph,25.7
 Lucas Duda,25.7
 Matt Kemp,25.6
 Buster Posey,25.6
 Tucker Barnhart,25.6
 Joey Votto,25.6
 Jose Bautista,25.6
 Roberto Perez,25.6
 Christian Vazquez,25.6
 Drew Butera,25.6
 Edwin Encarnacion,25.5
 Miguel Cabrera,25.5
 Omar Narvaez,25.5
 Mike Moustakas,25.5
 Franklin Gutierrez,25.5
 Jaff Decker,25.5
 Yunel Escobar,25.5
 Pablo Sandoval,25.5
 Matt Davidson,25.4
 Jedd Gyorko,25.4
 Jeff Mathis,25.4
 Martin Maldonado,25.4
 Cody Asche,25.4
 Rene Rivera,25.3
 Yonder Alonso,25.3
 Raffy Lopez,25.3
 Robinson Chirinos,25.2
 Adrian Beltre,25.2
 Mike Napoli,25.2
 Troy Tulowitzki,25.2
 Jose Lobaton,25.2
 Cheslor Cuthbert,25.1
 Welington Castillo,25.1
 Brett Nicholas,25.1
 Carlos Ruiz,25.1
 Travis Taijeron,25
 Matt Olson,25
 Chris Gimenez,25
 Justin Bour,25
 Ryan Raburn,25
 Chris Davis,25
 Cameron Rupp,25
 Matt Wieters,25
 Jesus Sucre,24.9
 Wilson Ramos,24.9
 Luis Valbuena,24.9
 Jesus Aguilar,24.9
 Bruce Maxwell,24.9
 Carson Kelly,24.8
 Yadier Molina,24.8
 Justin Smoak,24.7
 Sandy Leon,24.7
 Adrian Gonzalez,24.7
 Ryan Hanigan,24.6
 A.J. Ellis,24.6
 Kendrys Morales,24.5
 Yasmani Grandal,24.4
 Hector Sanchez,24.3
 Victor Martinez,24.3
 Jett Bandy,24.1
 Miguel Montero,23.8
 Juan Graterol,23.4
 Brian McCann,23.4
 Albert Pujols,23
